*𐑢𐑧𐑤𐑥	𐑣𐑢𐑧𐑤𐑥
*𐑢𐑧𐑤𐑥𐑛	𐑣𐑢𐑧𐑤𐑥𐑛
*𐑢𐑧𐑤𐑥𐑟	𐑣𐑢𐑧𐑤𐑥𐑟
*𐑢𐑰	𐑣𐑢𐑰
*𐑦𐑒𐑕𐑧𐑑𐑓	𐑦𐑒𐑕𐑧𐑑
*𐑬𐑼	𐑣𐑬𐑼
*𐑬𐑼𐑟	𐑣𐑬𐑼𐑟
ankh	𐑭𐑙𐑒	0
axolotl	𐑨𐑒𐑕𐑩𐑤𐑪𐑑𐑩𐑤	0
celeste	𐑕𐑦𐑤𐑧𐑕𐑑	0
cybra	𐑕𐑲𐑚𐑮𐑩	0
derp	𐑛𐑻𐑐	0
drago	𐑛𐑮𐑨𐑜𐑴	0
disambiguate	𐑛𐑦𐑕𐑨𐑥𐑚𐑦𐑜𐑘𐑫𐑱𐑑	0
disambiguation	𐑛𐑦𐑕𐑨𐑥𐑚𐑦𐑜𐑘𐑫𐑱𐑖𐑩𐑯	0
ender	𐑧𐑯𐑛𐑼	0
either	𐑰𐑞𐑼	27766
filthed	𐑓𐑦𐑤𐑔𐑑	0
filths	𐑓𐑦𐑤𐑔𐑕	0
fren	𐑓𐑮𐑧𐑯	0
gunna	𐑜𐑳𐑯𐑩	0
horologe	𐑣𐑪𐑮𐑩𐑤𐑪𐑡	0
hour	𐑣𐑬𐑼	0
hours	𐑣𐑬𐑼𐑟	0
ixi	𐑦𐑒𐑕𐑦	0
ixsetf	𐑦𐑒𐑕𐑧𐑑	0
iyk	𐑲𐑒	10000000000
iykury	𐑲𐑒𐑼𐑦	0
lia	𐑤𐑾	0
lex	𐑤𐑧𐑒𐑕	0
mitch	𐑥𐑦𐑗	0
nerd	𐑯𐑻𐑛	0
nerds	𐑯𐑻𐑛𐑟	0
oops	𐑵𐑐𐑕	0
quidditch	𐑒𐑢𐑦𐑛𐑦𐑗	0
readlex	𐑮𐑰𐑛𐑤𐑧𐑒𐑕	0
rhotic	𐑮𐑪𐑑𐑦𐑒	0
tion	𐑖𐑩𐑯	0
typo	𐑑𐑲𐑐𐑴	0
whee	𐑣𐑢𐑰	0
whelm	𐑣𐑢𐑧𐑤𐑥	0
whelmed	𐑣𐑢𐑧𐑤𐑥𐑛	0
whelms	𐑣𐑢𐑧𐑤𐑥𐑟	0
women	𐑢𐑦𐑥𐑩𐑯	39886
