*𐑐𐑮𐑺-𐑢𐑰𐑤	𐑐𐑮𐑺-𐑣𐑢𐑰𐑤
*𐑐𐑮𐑺-𐑢𐑰𐑤𐑟	𐑐𐑮𐑺-𐑣𐑢𐑰𐑤𐑟
*𐑐𐑦𐑯𐑢𐑰𐑤	𐑐𐑦𐑯𐑣𐑢𐑰𐑤
*𐑐𐑦𐑯𐑢𐑰𐑤𐑛	𐑐𐑦𐑯𐑣𐑢𐑰𐑤𐑛
*𐑐𐑦𐑯𐑢𐑰𐑤𐑟	𐑐𐑦𐑯𐑣𐑢𐑰𐑤𐑟
*𐑐𐑦𐑯𐑢𐑰𐑤𐑦𐑙	𐑐𐑦𐑯𐑣𐑢𐑰𐑤𐑦𐑙
*𐑐𐑨𐑛𐑩𐑤-𐑢𐑰𐑤	𐑐𐑨𐑛𐑩𐑤-𐑣𐑢𐑰𐑤
*𐑐𐑨𐑛𐑩𐑤-𐑢𐑰𐑤𐑟	𐑐𐑨𐑛𐑩𐑤-𐑣𐑢𐑰𐑤𐑟
*𐑚𐑤𐑨𐑒-𐑯-𐑢𐑲𐑑	𐑚𐑤𐑨𐑒-𐑯-𐑣𐑢𐑲𐑑
*𐑚𐑨𐑤𐑩𐑯𐑕-𐑢𐑰𐑤	𐑚𐑨𐑤𐑩𐑯𐑕-𐑣𐑢𐑰𐑤
*𐑚𐑨𐑤𐑩𐑯𐑕-𐑢𐑰𐑤𐑟	𐑚𐑨𐑤𐑩𐑯𐑕-𐑣𐑢𐑰𐑤𐑟
*𐑚𐑳𐑒𐑢𐑰𐑑	𐑚𐑳𐑒𐑣𐑢𐑰𐑑
*𐑚𐑳𐑜𐑦-𐑢𐑰𐑤	𐑚𐑳𐑜𐑦-𐑣𐑢𐑰𐑤
*𐑛𐑮𐑲𐑝𐑦𐑙-𐑢𐑰𐑤	𐑛𐑮𐑲𐑝𐑦𐑙-𐑣𐑢𐑰𐑤
*𐑛𐑮𐑲𐑝𐑦𐑙-𐑢𐑰𐑤𐑟	𐑛𐑮𐑲𐑝𐑦𐑙-𐑣𐑢𐑰𐑤𐑟
*𐑒𐑪𐑜𐑢𐑰𐑤	𐑒𐑪𐑜𐑣𐑢𐑰𐑤
*𐑒𐑪𐑜𐑢𐑰𐑤𐑟	𐑒𐑪𐑜𐑣𐑢𐑰𐑤𐑟
*𐑒𐑸𐑑𐑢𐑰𐑤	𐑒𐑸𐑑𐑣𐑢𐑰𐑤
*𐑒𐑸𐑑𐑢𐑰𐑤𐑟	𐑒𐑸𐑑𐑣𐑢𐑰𐑤𐑟
*𐑓𐑤𐑲𐑢𐑰𐑤	𐑓𐑤𐑲𐑣𐑢𐑰𐑤
*𐑓𐑤𐑲𐑢𐑰𐑤𐑟	𐑓𐑤𐑲𐑣𐑢𐑰𐑤𐑟
*𐑓𐑮𐑰𐑢𐑰𐑤	𐑓𐑮𐑰𐑣𐑢𐑰𐑤
*𐑓𐑮𐑰𐑢𐑰𐑤𐑛	𐑓𐑮𐑰𐑣𐑢𐑰𐑤𐑛
*𐑓𐑮𐑰𐑢𐑰𐑤𐑟	𐑓𐑮𐑰𐑣𐑢𐑰𐑤𐑟
*𐑓𐑮𐑰𐑢𐑰𐑤𐑦𐑙	𐑓𐑮𐑰𐑣𐑢𐑰𐑤𐑦𐑙
*𐑓𐑹-𐑢𐑰𐑤𐑼	𐑓𐑹-𐑣𐑢𐑰𐑤𐑼
*𐑓𐑹-𐑢𐑰𐑤𐑼𐑟	𐑓𐑹-𐑣𐑢𐑰𐑤𐑼𐑟
*𐑔𐑮𐑰-𐑢𐑰𐑤𐑛	𐑔𐑮𐑰-𐑣𐑢𐑰𐑤𐑛
*𐑕𐑐𐑮𐑪𐑒𐑩𐑑-𐑢𐑰𐑤	𐑕𐑐𐑮𐑪𐑒𐑩𐑑-𐑣𐑢𐑰𐑤
*𐑕𐑐𐑮𐑪𐑒𐑩𐑑-𐑢𐑰𐑤𐑟	𐑕𐑐𐑮𐑪𐑒𐑩𐑑-𐑣𐑢𐑰𐑤𐑟
*𐑕𐑐𐑦𐑯𐑦𐑙-𐑢𐑰𐑤	𐑕𐑐𐑦𐑯𐑦𐑙-𐑣𐑢𐑰𐑤
*𐑕𐑐𐑦𐑯𐑦𐑙-𐑢𐑰𐑤𐑟	𐑕𐑐𐑦𐑯𐑦𐑙-𐑣𐑢𐑰𐑤𐑟
*𐑕𐑐𐑻𐑥-𐑢𐑱𐑤	𐑕𐑐𐑻𐑥-𐑣𐑢𐑱𐑤
*𐑕𐑐𐑻𐑥-𐑢𐑱𐑤𐑟	𐑕𐑐𐑻𐑥-𐑣𐑢𐑱𐑤𐑟
*𐑕𐑑𐑱𐑡-𐑢𐑦𐑕𐑐𐑼	𐑕𐑑𐑱𐑡-𐑣𐑢𐑦𐑕𐑐𐑼
*𐑕𐑑𐑱𐑡-𐑢𐑦𐑕𐑐𐑼𐑟	𐑕𐑑𐑱𐑡-𐑣𐑢𐑦𐑕𐑐𐑼𐑟
*𐑕𐑑𐑻𐑯𐑢𐑰𐑤𐑼	𐑕𐑑𐑻𐑯𐑣𐑢𐑰𐑤𐑼
*𐑕𐑑𐑻𐑯𐑢𐑰𐑤𐑼𐑟	𐑕𐑑𐑻𐑯𐑣𐑢𐑰𐑤𐑼𐑟
*𐑕𐑑𐑽𐑦𐑙-𐑢𐑰𐑤	𐑕𐑑𐑽𐑦𐑙-𐑣𐑢𐑰𐑤
*𐑕𐑑𐑽𐑦𐑙-𐑢𐑰𐑤𐑟	𐑕𐑑𐑽𐑦𐑙-𐑣𐑢𐑰𐑤𐑟
*𐑕𐑯𐑴-𐑢𐑲𐑑	𐑕𐑯𐑴-𐑣𐑢𐑲𐑑
*𐑕𐑲𐑛-𐑢𐑦𐑕𐑒𐑼𐑛	𐑕𐑲𐑛-𐑣𐑢𐑦𐑕𐑒𐑼𐑛
*𐑕𐑲𐑛-𐑢𐑦𐑕𐑒𐑼𐑟	𐑕𐑲𐑛-𐑣𐑢𐑦𐑕𐑒𐑼𐑟
*𐑕𐑳𐑥𐑢𐑪𐑑	𐑕𐑳𐑥𐑣𐑢𐑪𐑑
*𐑕𐑳𐑥𐑢𐑺	𐑕𐑳𐑥𐑣𐑢𐑺
*𐑡𐑰 𐑢𐑦𐑟	𐑡𐑰 𐑣𐑢𐑦𐑟
*𐑢𐑦𐑐	𐑣𐑢𐑦𐑐
*𐑢𐑦𐑐𐑑	𐑣𐑢𐑦𐑐𐑑
*𐑢𐑦𐑐𐑒𐑹𐑛	𐑣𐑢𐑦𐑐𐑒𐑹𐑛
*𐑢𐑦𐑐𐑕	𐑣𐑢𐑦𐑐𐑕
*𐑢𐑦𐑐𐑦	𐑣𐑢𐑦𐑐𐑦
*𐑢𐑦𐑐𐑦𐑙	𐑣𐑢𐑦𐑐𐑦𐑙
*𐑢𐑦𐑐𐑦𐑙𐑟	𐑣𐑢𐑦𐑐𐑦𐑙𐑟
*𐑢𐑦𐑐𐑦𐑙-𐑐𐑴𐑕𐑑	𐑣𐑢𐑦𐑐𐑦𐑙-𐑐𐑴𐑕𐑑
*𐑢𐑦𐑐𐑦𐑙-𐑐𐑴𐑕𐑑𐑕	𐑣𐑢𐑦𐑐𐑦𐑙-𐑐𐑴𐑕𐑑𐑕
*𐑢𐑦𐑐𐑦𐑙-𐑚𐑶	𐑣𐑢𐑦𐑐𐑦𐑙-𐑚𐑶
*𐑢𐑦𐑐𐑦𐑙-𐑚𐑶𐑟	𐑣𐑢𐑦𐑐𐑦𐑙-𐑚𐑶𐑟
*𐑢𐑦𐑐𐑦𐑙-𐑑𐑪𐑐	𐑣𐑢𐑦𐑐𐑦𐑙-𐑑𐑪𐑐
*𐑢𐑦𐑐𐑦𐑙-𐑑𐑪𐑐𐑕	𐑣𐑢𐑦𐑐𐑦𐑙-𐑑𐑪𐑐𐑕
*𐑢𐑦𐑐𐑦𐑩𐑕𐑑	𐑣𐑢𐑦𐑐𐑦𐑩𐑕𐑑
*𐑢𐑦𐑐𐑦𐑼	𐑣𐑢𐑦𐑐𐑦𐑼
*𐑢𐑦𐑐𐑩𐑑	𐑣𐑢𐑦𐑐𐑩𐑑
*𐑢𐑦𐑐𐑩𐑑𐑕	𐑣𐑢𐑦𐑐𐑩𐑑𐑕
*𐑢𐑦𐑐𐑼𐑕𐑯𐑨𐑐𐑼	𐑣𐑢𐑦𐑐𐑼𐑕𐑯𐑨𐑐𐑼
*𐑢𐑦𐑐𐑼𐑕𐑯𐑨𐑐𐑼𐑟	𐑣𐑢𐑦𐑐𐑼𐑕𐑯𐑨𐑐𐑼𐑟
*𐑢𐑦𐑐𐑼𐑟-𐑦𐑯	𐑣𐑢𐑦𐑐𐑼𐑟-𐑦𐑯
*𐑢𐑦𐑐𐑼𐑢𐑦𐑤	𐑣𐑢𐑦𐑐𐑼𐑢𐑦𐑤
*𐑢𐑦𐑐𐑼𐑢𐑦𐑤𐑟	𐑣𐑢𐑦𐑐𐑼𐑢𐑦𐑤𐑟
*𐑢𐑦𐑐𐑼-𐑦𐑯	𐑣𐑢𐑦𐑐𐑼-𐑦𐑯
*𐑢𐑦𐑐-𐑮𐑬𐑯𐑛	𐑣𐑢𐑦𐑐-𐑮𐑬𐑯𐑛
*𐑢𐑦𐑐-𐑮𐑬𐑯𐑛𐑟	𐑣𐑢𐑦𐑐-𐑮𐑬𐑯𐑛𐑟
*𐑢𐑦𐑑	𐑣𐑢𐑦𐑑
*𐑢𐑦𐑑𐑚𐑦	𐑣𐑢𐑦𐑑𐑚𐑦
*𐑢𐑦𐑑𐑚𐑻𐑯	𐑣𐑢𐑦𐑑𐑚𐑻𐑯
*𐑢𐑦𐑑𐑕	𐑣𐑢𐑦𐑑𐑕
*𐑢𐑦𐑑𐑕𐑑𐑩𐑚𐑩𐑤	𐑣𐑢𐑦𐑑𐑕𐑑𐑩𐑚𐑩𐑤
*𐑢𐑦𐑑𐑕𐑩𐑯	𐑣𐑢𐑦𐑑𐑕𐑩𐑯
*𐑢𐑦𐑑𐑕𐑩𐑯𐑑𐑲𐑛	𐑣𐑢𐑦𐑑𐑕𐑩𐑯𐑑𐑲𐑛
*𐑢𐑦𐑑𐑕𐑩𐑯𐑑𐑲𐑛𐑟	𐑣𐑢𐑦𐑑𐑕𐑩𐑯𐑑𐑲𐑛𐑟
*𐑢𐑦𐑑𐑕𐑩𐑯𐑟	𐑣𐑢𐑦𐑑𐑕𐑩𐑯𐑟
*𐑢𐑦𐑑𐑢𐑼𐑔	𐑣𐑢𐑦𐑑𐑢𐑼𐑔
*𐑢𐑦𐑑𐑤𐑦 𐑚𐑱	𐑣𐑢𐑦𐑑𐑤𐑦 𐑚𐑱
*𐑢𐑦𐑑𐑤𐑦𐑙	𐑣𐑢𐑦𐑑𐑤𐑦𐑙
*𐑢𐑦𐑑𐑤𐑴	𐑣𐑢𐑦𐑑𐑤𐑴
*𐑢𐑦𐑑𐑤𐑴𐑟	𐑣𐑢𐑦𐑑𐑤𐑴𐑟
*𐑢𐑦𐑑𐑯𐑦	𐑣𐑢𐑦𐑑𐑯𐑦
*𐑢𐑦𐑑𐑩𐑤	𐑣𐑢𐑦𐑑𐑩𐑤
*𐑢𐑦𐑑𐑩𐑤𐑛	𐑣𐑢𐑦𐑑𐑩𐑤𐑛
*𐑢𐑦𐑑𐑩𐑤𐑕𐑦	𐑣𐑢𐑦𐑑𐑩𐑤𐑕𐑦
*𐑢𐑦𐑑𐑩𐑤𐑟	𐑣𐑢𐑦𐑑𐑩𐑤𐑟
*𐑢𐑦𐑑𐑩𐑤-𐑤𐑩-𐑢𐑫𐑛𐑟	𐑣𐑢𐑦𐑑𐑩𐑤-𐑤𐑩-𐑢𐑫𐑛𐑟
*𐑢𐑦𐑜	𐑣𐑢𐑦𐑜
*𐑢𐑦𐑜𐑟	𐑣𐑢𐑦𐑜𐑟
*𐑢𐑦𐑓	𐑣𐑢𐑦𐑓
*𐑢𐑦𐑓𐑕	𐑣𐑢𐑦𐑓𐑕
*𐑢𐑦𐑞𐑼	𐑣𐑢𐑦𐑞𐑼
*𐑢𐑦𐑞𐑼𐑕𐑴𐑧𐑝𐑼	𐑣𐑢𐑦𐑞𐑼𐑕𐑴𐑧𐑝𐑼
